Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.parseStatus,7757382,545458,24527,70,629145
All.parseStatusLocal,1539830668,58388248,7829684,22754,7340032
All.parseStatusInfix,259360631,22189954,549713,1732,7340032
All.parseStatusLocalInfix,4253793475,342055566,11861344,27245,7340032
All.formatStatus,21301423,746858,120714,74,10485760
All.formatStatus_compact,18944916,1761518,83328,138,10485760
All.readFormattedStatus,14129050,1360198,46037,357,1258291
All.readFormattedStatus_compact,139146018,13874532,423015,3452,12582912
